rank,rating,title,movieyear,votes,gross,budget,
230,8,Ip Man,2008,86593,0,0,
231,8,A Fistful of Dollars,1964,82374,3500000,200000,
232,8,The Diving Bell and the Butterfly,2007,69702,5990075,0,
233,8,The Hobbit: An Unexpected Journey,2012,352517,1014703568,
234,8,District 9,2009,388592,215196627,
235,8,Shutter Island,2010,436151,296831073,
236,8,Rain Man,1988,276674,412800000,
237,8,Incendies,2010,36751,12597210,
238,8,Rosemary's Baby,1968,103929,33395426,
239,8,La Haine,1995,63865,309811,0,
240,8,3 Idiots,2009,83178,80000000,0,
241,8,The Artist,2011,132672,128256712,
242,8,Nausicaä of the Valley of the Wind,1984,53307,0,0,
243,7.9,Beauty and the Beast,1991,189229,451421625,
244,7.9,Three Colors: Red,1994,43438,4043686,0,
245,7.9,Bringing Up Baby,1938,35695,10863,1073000,
246,7.9,Mystic River,2003,256159,156835191,
247,7.9,In the Heat of the Night,1967,37081,24379978,
248,7.9,Arsenic and Old Lace,1944,45893,0,1120175,
249,7.9,Before Sunrise,1995,100974,5274005,
250,7.9,Papillon,1973,62517,53267000,12000000,
